ax;ay;az;gx;gy;gz;t
2484;1736;13728;-4558;-100;-295;91474
2340;1092;14248;-9379;-283;400;91559
2876;-1388;16396;-9869;-122;1625;91644
3032;-4512;14128;-7235;696;1470;91730
2464;-6132;14552;-5976;626;48;91815
2324;-6640;15104;-2244;-22;-47;91900
2448;-5860;14212;-525;-248;717;91986
2640;-6260;14140;-1165;-39;716;92071
2532;-6480;14184;-959;-48;255;92156
2540;-6468;14100;-494;-75;220;92241
2584;-6388;13720;-766;-99;304;92327
2632;-6608;13672;-1043;8;169;92412
2612;-6892;13808;-1104;293;-54;92497
2560;-7296;13736;-865;452;-191;92582
2396;-7400;13704;7;618;-504;92668
2036;-7264;13752;330;786;-797;92753
2352;-6508;14052;571;50;-175;92838
2428;-6488;13940;761;5;544;92924
2544;-6480;14036;221;204;429;93009
2516;-6960;13456;-1073;425;-274;93094
2228;-7320;14164;-481;444;-494;93179
2196;-6992;13816;-107;63;-133;93265
2736;-7256;17676;3999;504;-364;93350
2092;-9488;11512;32767;-426;-1731;93435
1992;3988;11584;800;1331;307;93521
2016;1016;13336;-5604;1329;226;93606
2120;-1140;14912;-12354;83;-1407;93691
2084;-3504;16672;-10266;663;-2028;93776
1464;-4912;15428;-4878;298;-825;93862
1912;-6236;14480;-2469;235;322;93947
1788;-6880;14140;-1488;185;257;94032
1820;-7052;14612;-975;-130;157;94118
1844;-6560;14292;327;-60;269;94203
1836;-5976;13780;466;289;-145;94288
1524;-5936;14212;285;280;-231;94373
1772;-6068;13912;-92;-142;198;94459
1936;-6308;14144;31;-186;602;94544
1968;-6516;14312;448;54;144;94629
1820;-9576;24404;22002;-154;288;94715
2180;1372;7424;14905;261;-43;94800
2536;1876;12740;-4932;-379;-1358;94885
2100;448;15480;-11917;-371;-1637;94970
2112;-2240;14848;-7777;823;-1409;95056
2032;-4308;15736;-6577;465;-107;95141
2096;-5624;15160;-3252;194;891;95226
2052;-6524;14220;-2365;312;397;95311
1856;-6352;14392;-1117;30;22;95397
2160;-6100;14420;-456;107;286;95482
1796;-5792;14160;-184;528;114;95567
1644;-5684;14064;-407;135;-54;95653
1944;-6300;14116;-720;-139;278;95738
2096;-6720;14312;-589;86;-55;95823
1928;-6456;14068;45;331;-241;95908
1612;-5980;14212;506;340;-39;95994
1748;-6080;14216;557;121;389;96079
1608;-6180;14408;242;92;326;96164
1864;-5996;14184;400;25;208;96250
2132;-10224;23936;18970;1099;1609;96335
1516;-1860;9460;23078;-847;2465;96420
2612;3952;11912;1702;228;-786;96505
1480;2760;13156;-5007;1077;-1657;96591
1084;1480;15736;-8913;2164;-1520;96676
568;8;16308;-6096;1260;-669;96761
896;-1272;15724;-4055;810;-263;96847
640;-2760;14464;-4856;482;-391;96932
552;-4332;14724;-5252;-11;-646;97017
488;-4968;15616;-2903;-196;-117;97102
748;-5188;15120;-855;-176;382;97188
600;-4792;14324;-519;-451;516;97273
952;-5168;14468;-742;-234;493;97358
1024;-5204;14544;-976;-275;437;97444
972;-5412;14712;-460;-109;42;97529
1040;-4972;14632;-105;-481;805;97614
1332;-5632;14264;361;-141;644;97699
1180;-5512;14556;866;-35;25;97785
1292;-4476;14164;367;-139;-299;97870
1844;-3876;11884;-5017;702;-380;97955
1836;-5988;9760;-18388;2752;-738;98040
-884;-13824;16796;-12913;3655;-829;98126
-1376;-12220;14760;4435;-257;-578;98211
804;-8628;10160;4209;-2254;527;98296
1124;-10300;11368;1185;-1453;1106;98382
664;-10112;12828;3140;-1892;823;98467
1096;-8832;12844;4309;-1884;1232;98552
1508;-7728;13692;3715;-1354;1195;98637
1548;-6716;13320;3026;-872;801;98723
1460;-6428;13324;1371;-946;794;98808
1996;-6736;13632;-242;-665;760;98893
1928;-7100;13948;178;-464;280;98979
1960;-6756;14236;892;-374;385;99064
2196;-6508;14072;1532;-175;82;99149
